iter	Passed	Remaining
0	1	264
1	2	246
2	3	251
3	5	254
4	6	247
5	7	240
6	8	237
7	9	234
8	11	251
9	13	247
10	14	243
11	15	240
12	16	238
13	17	234
14	18	231
15	20	230
16	21	231
17	22	228
18	23	226
19	24	224
20	26	224
21	27	222
22	28	220
23	29	218
24	31	217
25	32	215
26	33	215
27	34	214
28	36	212
29	37	211
30	38	210
31	39	209
32	41	208
33	42	206
34	43	204
35	44	202
36	45	201
37	46	199
38	47	198
39	49	196
40	50	195
41	51	194
42	52	192
43	53	191
44	55	190
45	56	188
46	57	187
47	58	185
48	59	184
49	60	182
50	62	181
51	63	179
52	64	178
53	65	176
54	66	175
55	67	173
56	68	172
57	69	171
58	71	169
59	72	168
60	73	167
61	74	166
62	75	164
63	76	163
64	78	162
65	79	160
66	80	159
67	81	158
68	82	157
69	83	155
70	85	154
71	86	153
72	87	152
73	88	150
74	89	149
75	90	148
76	91	146
77	93	145
78	94	144
79	95	143
80	96	141
81	97	140
82	98	139
83	100	138
84	101	136
85	102	135
86	103	134
87	104	133
88	105	132
89	107	130
90	108	129
91	109	128
92	110	127
93	111	125
94	112	124
95	114	123
96	115	122
97	116	121
98	117	119
99	118	118
100	119	117
101	121	116
102	122	115
103	123	113
104	124	112
105	125	111
106	126	110
107	127	108
108	129	107
109	130	106
110	131	105
111	132	104
112	133	103
113	135	101
114	136	100
115	137	99
116	138	98
117	139	97
118	140	95
119	142	94
120	143	93
121	144	92
122	145	91
123	146	89
124	147	88
125	148	87
126	149	86
127	151	85
128	152	83
129	153	82
130	154	81
131	155	80
132	156	79
133	158	77
134	159	76
135	160	75
136	161	74
137	162	73
138	163	71
139	164	70
140	165	69
141	167	68
142	168	67
143	169	65
144	170	64
145	171	63
146	172	62
147	174	61
148	175	59
149	176	58
150	177	57
151	178	56
152	179	55
153	180	54
154	182	52
155	183	51
156	184	50
157	185	49
158	186	48
159	187	46
160	189	45
161	190	44
162	191	43
163	192	42
164	194	41
165	195	40
166	196	38
167	197	37
168	198	36
169	199	35
170	201	34
171	202	32
172	203	31
173	204	30
174	205	29
175	206	28
176	207	27
177	208	25
178	210	24
179	211	23
180	212	22
181	213	21
182	214	19
183	215	18
184	217	17
185	218	16
186	219	15
187	220	14
188	221	12
189	222	11
190	223	10
191	225	9
192	226	8
193	227	7
194	228	5
195	229	4
196	231	3
197	232	2
198	233	1
199	234	0
